CPUBID,MPUBID,CRACE,CSEX,AFDC_1994,AFDC_1996,AFDC_1998,FOODSTAMPS_1994,FOODSTAMPS_1996,FOODSTAMPS_1998,FOODSTAMPS_2000,FOODSTAMPS_2002,FOODSTAMPS_2004,FOODSTAMPS_2006,FOODSTAMPS_2008,FOODSTAMPS_2010,FOODSTAMPS_2012,FOODSTAMPS_2014,FOODSTAMPS_2016,GED_EVER,HSDIPLOMA_EVER,PROFDEGREE_EVER
16503,165,3,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,1,0
16701,167,3,1,-7,-7,-7,-7,-7,-7,-7,-7,0,-7,-7,-7,-7,-7,-7,0,1,0
16702,167,3,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0
17201,172,3,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,1,0,1,0
17401,174,1,1,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,1,0,-7,0,1,0
17402,174,1,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,-7,-7,0,1,0
17501,175,3,1,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,0,0,-7,0,0,1,0
17502,175,3,2,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,0,0,-7,0,0,1,0
17503,175,3,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,0,0,0,1,0
17504,175,3,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,1,0
17901,179,3,2,-7,-7,0,-7,0,0,0,0,0,0,0,0,-7,-7,-7,0,1,0
17902,179,3,2,-7,-7,0,-7,-7,0,-7,0,0,0,0,0,0,-7,0,0,1,0
18001,180,3,1,-7,-7,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,1,0
18002,180,3,1,-7,-7,0,-7,-7,0,0,0,-7,0,-7,-7,0,-7,0,1,0,0
18003,180,3,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,-7,0,1,0
18301,183,3,1,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,0,-7,-7,0,1,0
18302,183,3,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,-7,-7,-7,-7,-7,0,1,0
18303,183,3,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,-7,0,0,1,0
18401,184,3,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,1,0
18601,186,3,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,1,0
18801,188,3,2,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,0,0,-7,0,1,0
19001,190,3,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,1,0
19201,192,3,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,0,1,0
19202,192,3,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,1,0
19203,192,3,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,1,0
19701,197,3,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,-7,-7,-7,0,1,0
19702,197,3,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,0,1,0
20001,200,3,2,-7,-7,0,-7,-7,0,-7,0,0,0,0,0,0,-7,0,0,1,0
20002,200,3,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,0,0,0,1,0
20301,203,1,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
20302,203,1,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0
20401,204,1,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
20402,204,1,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,0,-7,0,1,0
20501,205,1,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,-7,-7,-7,0,0,1,0
20502,205,1,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,-7,0,-7,0,1,0
20503,205,1,1,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,0,0,0,0,1,0
20801,208,3,2,0,-7,-7,0,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,1,0,0,0
21101,211,3,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,1,0
21102,211,3,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,1,0
21103,211,3,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,1,0
21104,211,3,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0
22101,221,2,1,-7,-7,-7,-7,-7,-7,-7,-7,0,-2,0,0,0,0,0,0,1,0
22102,221,2,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-2,0,0,0,0,0,1,0,0
22103,221,2,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,1,-7,0,0,1,0
22104,221,2,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,1,1,0,0,0,0
22401,224,2,1,-7,-7,-7,0,0,-7,0,0,0,0,0,-7,0,-7,1,0,1,0
22402,224,2,2,-7,-7,0,0,0,0,0,0,0,0,0,0,-7,0,-7,0,1,0
22403,224,2,1,-7,-7,0,0,0,0,0,0,1,1,1,-7,1,-7,1,0,0,0
22701,227,2,2,1,1,-7,1,1,-7,1,1,1,1,1,-7,1,-7,1,0,0,0
22702,227,2,2,-7,-7,0,0,-2,0,0,0,0,1,1,0,-7,1,-7,0,1,0
22703,227,2,1,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,-2,0,-7,0,1,0
22704,227,2,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,1,0
22801,228,1,2,-7,-7,0,-7,0,0,0,0,0,1,0,0,-7,1,-7,0,0,0
22802,228,1,1,-7,-7,-7,-7,-7,-7,-7,-7,0,1,0,0,0,1,1,1,0,0
22803,228,1,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,-7,0,0,1,0,0
22804,228,1,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,0,0,0,0,0,1,0
22901,229,3,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,1,0,0,1,0
23101,231,3,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,0,1,0
23102,231,3,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,1,0
23601,236,3,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,-7,0,0,-7,0,0,1,0
23602,236,3,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,1,0
23603,236,3,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,1,0
23701,237,3,2,-7,-7,0,-7,0,0,0,0,1,0,1,1,-7,1,-7,1,0,0
23901,239,3,2,-7,-7,0,-7,0,0,1,1,0,1,1,1,-7,1,-7,0,0,0
23902,239,3,1,-7,-7,0,-7,-7,0,-7,0,0,0,-7,-7,-7,-7,-7,0,0,0
23903,239,3,1,-7,-7,-7,-7,-7,-7,-7,-7,0,0,-7,0,-7,-7,-7,1,0,0
24001,240,3,1,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,-7,-7,-7,0,1,0
24002,240,3,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,0,0,0,1,0
24201,242,3,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,0,0,0,1,0
24401,244,3,2,-7,-7,-7,0,0,-7,0,0,0,0,-7,-7,0,-7,0,0,1,0
24402,244,3,2,-7,-7,0,0,0,0,0,0,0,0,0,-7,0,-7,0,0,1,0
24403,244,3,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,0,1,0
24501,245,3,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,1,0
24502,245,3,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,1,0
24503,245,3,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,1,0
24901,249,3,1,-7,-7,0,-7,-7,0,0,0,0,0,0,0,0,-7,0,0,1,0
24902,249,3,2,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,0,0,0,-7,1,0,0
24903,249,3,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,-7,0,1,0
24904,249,3,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0
25001,250,3,1,-7,-7,0,-7,-7,0,-7,0,0,0,0,0,0,-7,0,0,1,0
25002,250,3,2,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,-7,0,0,0,0,1,0
25201,252,3,2,-7,-7,0,-7,-7,0,-7,0,0,0,0,0,0,0,0,0,1,0
25202,252,3,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,-7,0,1,0
25401,254,3,1,-7,-7,0,-7,0,0,0,0,0,0,0,0,0,0,-7,1,0,0
25402,254,3,2,-7,-7,0,-7,-7,0,-7,0,0,0,0,0,0,-7,0,0,1,0
25403,254,3,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,-7,-2,-7,-7,0,1,0
25404,254,3,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,1,0
25405,254,3,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,1,0
25501,255,3,2,-7,-7,0,-7,-7,0,-7,0,-7,-7,-7,-7,-7,-7,-7,0,1,0
25502,255,3,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,0,-7,0,1,0
25503,255,3,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,0,0,0,1,0
25504,255,3,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,-7,-7,0,1,0
25505,255,3,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,1,0
25601,256,3,2,-7,-7,0,-7,0,0,0,0,0,0,0,0,-7,0,-7,0,1,0
25602,256,3,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0
25801,258,3,2,-7,-7,0,-7,0,0,0,0,0,0,0,0,-7,0,-7,0,1,0
25802,258,3,2,-7,-7,0,-7,0,0,0,0,0,0,0,0,-7,0,-7,0,1,0
