code,name
C0098300,NAHGC21981_1981
C0098400,NAHGC31981_1981
C0098500,NHFADT1981_1981
C0098600,NHMADT1981_1981
C0098700,NADFMM1981_1981
C0098800,NRSKID1981_1981
C0098900,NBISIB1981_1981
C0099100,AGRYST1981_1981
C0099200,AGFAMY1981_1981
C0099300,SPOUSE1982_1982
C0099310,AGESPS1982_1982
C0099400,HGCSPS1982_1982
C0099500,PARTNR1982_1982
C0099510,AGEPTR1982_1982
C0099600,HGCPTR1982_1982
C0099700,MOMHH1982_1982
C0099800,DADHH1982_1982
C0099900,NHHMEM1982_1982
C0100000,NFAMEM1982_1982
C0100100,NFAMUN1982_1982
C0100200,NHCHLD1982_1982
C0100300,NH0_21982_1982
C0100400,NH3_51982_1982
C0100500,NH6_111982_1982
C0100600,NH12_171982_1982
C0100700,AGHYST1982_1982
C0100800,NHFCHD1982_1982
C0100900,NHADLT1982_1982
C0101000,NHADWK1982_1982
C0101100,NFADWK1982_1982
C0101200,NAHGC01982_1982
C0101300,NAHGC11982_1982
C0101400,NAHGC21982_1982
C0101500,NHFADT1982_1982
C0101600,NAHGC31982_1982
C0101700,NHMADT1982_1982
C0101800,NADFMM1982_1982
C0101900,NRSKID1982_1982
C0102000,NBISIB1982_1982
C0102200,AGRYST1982_1982
C0102300,AGFAMY1982_1982
C0102400,SPOUSE1983_1983
C0102410,AGESPS1983_1983
C0102500,HGCSPS1983_1983
C0102600,PARTNR1983_1983
C0102610,AGEPTR1983_1983
C0102700,HGCPTR1983_1983
C0102800,MOMHH1983_1983
C0102900,DADHH1983_1983
C0103000,NHHMEM1983_1983
C0103100,NFAMEM1983_1983
C0103200,NFAMUN1983_1983
C0103300,NHCHLD1983_1983
C0103400,NH0_21983_1983
C0103500,NH3_51983_1983
C0103600,NH6_111983_1983
C0103700,NH12_171983_1983
C0103800,AGHYST1983_1983
C0103900,NHFCHD1983_1983
C0104000,NHADLT1983_1983
C0104100,NHADWK1983_1983
C0104200,NFADWK1983_1983
C0104300,NAHGC01983_1983
C0104400,NAHGC11983_1983
C0104500,NAHGC21983_1983
C0104600,NAHGC31983_1983
C0104700,NHFADT1983_1983
C0104800,NHMADT1983_1983
C0104900,NADFMM1983_1983
C0105000,NRSKID1983_1983
C0105100,NBISIB1983_1983
C0105300,AGRYST1983_1983
C0105400,AGFAMY1983_1983
C0105500,SPOUSE1984_1984
C0105510,AGESPS1984_1984
C0105600,HGCSPS1984_1984
C0105700,PARTNR1984_1984
C0105710,AGEPTR1984_1984
C0105800,HGCPTR1984_1984
C0105900,MOMHH1984_1984
C0106000,DADHH1984_1984
C0106100,NHHMEM1984_1984
C0106200,NFAMEM1984_1984
C0106300,NFAMUN1984_1984
C0106400,NHCHLD1984_1984
C0106500,NH0_21984_1984
C0106600,NH3_51984_1984
C0106700,NH6_111984_1984
C0106800,NH12_171984_1984
C0106900,AGHYST1984_1984
C0107000,NHFCHD1984_1984
C0107100,NHADLT1984_1984
C0107200,NHADWK1984_1984
C0107300,NFADWK1984_1984
C0107400,NAHGC01984_1984
C0107500,NAHGC11984_1984
C0107600,NAHGC21984_1984
C0107700,NAHGC31984_1984
C0107800,NHFADT1984_1984
C0107900,NHMADT1984_1984
C0108000,NADFMM1984_1984
C0108100,NRSKID1984_1984
C0108200,NBISIB1984_1984
C0108400,AGRYST1984_1984
C0108500,AGFAMY1984_1984
C0108600,SPOUSE1985_1985
C0108610,AGESPS1985_1985
C0108700,HGCSPS1985_1985
C0108800,PARTNR1985_1985
C0108810,AGEPTR1985_1985
C0108900,HGCPTR1985_1985
C0109000,MOMHH1985_1985
C0109100,DADHH1985_1985
C0109200,NHHMEM1985_1985
C0109300,NFAMEM1985_1985
C0109400,NFAMUN1985_1985
C0109500,NHCHLD1985_1985
C0109600,NH0_21985_1985
C0109700,NH3_51985_1985
C0109800,NH6_111985_1985
C0109900,NH12_171985_1985
C0110000,AGHYST1985_1985
C0110100,NHFCHD1985_1985
C0110200,NHADLT1985_1985
C0110300,NHADWK1985_1985
C0110400,NFADWK1985_1985
C0110500,NAHGC01985_1985
C0110600,NAHGC11985_1985
C0110700,NAHGC21985_1985
C0110800,NAHGC31985_1985
C0110900,NHFADT1985_1985
C0111000,NHMADT1985_1985
C0111100,NADFMM1985_1985
C0111200,NRSKID1985_1985
C0111300,NBISIB1985_1985
C0111500,AGRYST1985_1985
C0111600,AGFAMY1985_1985
C0111700,SPOUSE1986_1986
C0111710,AGESPS1986_1986
C0111800,HGCSPS1986_1986
C0111900,PARTNR1986_1986
C0111910,AGEPTR1986_1986
C0112000,HGCPTR1986_1986
C0112100,MOMHH1986_1986
C0112200,DADHH1986_1986
C0112300,NHHMEM1986_1986
C0112400,NFAMEM1986_1986
C0112500,NFAMUN1986_1986
C0112510,AGRYST1986_1986
C0112520,AGFAMY1986_1986
C0112600,NHCHLD1986_1986
C0112700,NH0_21986_1986
C0112800,NH3_51986_1986
C0112900,NH6_111986_1986
C0113000,NH12_171986_1986
